"Deferred Expense","المصاريف الآجلة"
"Setting the account as a Company Account is necessary for Bank Reconciliation","  تعيين الحساب كحساب شركة ضروري لإجراء التسوية البنكية"
"Edit Full Form","تعديل عبر الشاشة التفصيلية"
"Only values between [0,1) are allowed. Like {0.00, 0.04, 0.09, ...} Ex: If allowance is set at 0.07, accounts that have balance of 0.07 in either of the currencies will be considered as zero balance account","يُسمح فقط بالقيم بين 0 و1، وإذا تم التعيين على 0.07 فسيُعتبر الرصيد 0.07 كرصيد صفري."
"How should this currency be formatted? If not set, will use system defaults","كيف يجب تنسيق هذه العملة؟ إذا لم يتم التحديد، سيتم استخدام الإعدادات الافتراضية للنظام."
"Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01","أصغر وحدة كسرية متداولة (عملة معدنية)، مثل 1 سنت للدولار الأمريكي ويجب إدخالها كـ 0.01"
"1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent","1 عملة = [?] وحدة كسرية (مثال: 1 دولار = 100 سنت)"
"Sub-currency. For e.g. "Cent","العملة الفرعية، مثل "سنت""
"Note: This Cost Center is a Group. Cannot make accounting entries against groups.","ملاحظة: مركز التكلفة هذا عبارة عن مجموعة. لا يمكن إجراء قيود محاسبية على المجموعات."
"Budget Variance Report","تقرير انحراف الميزانية"
"Convert to Non-Group","التحويل إلى إبن"
"Only Deduct Tax On Excess Amount","اقتطاع الضريبة فقط على المبلغ الزائد"
"Checking this will round off the tax amount to the nearest integer","تفعيل هذا الخيار سيؤدي إلى تقريب مبلغ الضريبة إلى أقرب عدد صحيح"
"Tax will be withheld only for amount exceeding the cumulative threshold","سيتم اقتطاع الضريبة فقط على المبلغ الذي يتجاوز الحد التراكمي"
"Even invoices with apply tax withholding unchecked will be considered for checking cumulative threshold breach","حتى الفواتير التي لم يتم تحديد خيار تطبيق اقتطاع الضريبة فيها سيتم احتسابها عند التحقق من تجاوز الحد التراكمي"
"If checked, the tax amount will be considered as already included in the Paid Amount in Payment Entry","إذا تم التحديد، فسيُعتبر مبلغ الضريبة مشمولًا بالفعل ضمن المبلغ المدفوع في يند الصرف "
"If checked, the tax amount will be considered as already included in the Print Rate / Print Amount","إذا تم التحديد، فسيُعتبر مبلغ الضريبة مشمولاً بالفعل في سعر الطباعة / المبلغ المطبوع"
"* Will be calculated in the transaction.","*سيتم إحتسابه في السند"
"Editing Row","تعديل السطر"
"Insert Below","أدخل بعد"
"Insert Above","أدخل قبل"
"Move","أنقل"
"Submitted","معتمد"
"Outstanding ","المعلق"
"More/Less than 12 months.","أطول أو أقصر من 12 شهر"
"Edit Filters","تعديل الفلتر"
"Save Filter","حفظ الفلتر"
"Mention if non-standard Receivable account","حدد حسابات الذمم إذا لم يتم تحديد الحساب الأساسي للذمم"
"Add Multiple","إضافة عدة أسطر"
"Submit this document to confirm","إعتمد المستند للتأكيد"
"If Income or Expense","إذا إيراد أو مصروف"
"Is Billing Contact","هو جهة إتصال خاصة بالفواتير"
"New Contact","إنشاء جهة إتصال"
"Mention if non-standard receivable account applicable","حدد حسابات الذمم إذا لم يتم تحديد الحساب الأساسي للذمم"
"New Email","إنشاء بريد إلكتروني"
"Add Row","إضافة سطر"
"Allow multi-currency invoices against single party account","السماح بإنشاء فواتير متعددة العملات لحساب طرف واحد"
"Enabling this will allow creation of multi-currency invoices against single party account in company currency","تفعيل هذا الخيار سيسمح بإنشاء فواتير متعددة العملات لحساب طرف واحد بعملة الشركة"
"Learn about Common Party","تعلم عن الأطراف المشتركة"
"When checked, approved Expense Entries will create Journal Entries","عند التفعيل سيتم إنشاء قيود يومية لسجلات المصاريف المعتمدة"
"Notify all Approvers when a expense request is made","إشعار جميع المعتمدين عند تقديم طلب مصروف"
"Create Journals Entries Automatically","إنشاء قيود اليومية تلقائيًا"
"Notify all Approvers","إشعار جميع المعتمدين"
"Set a Mode of Payment for expenses and link it to your usual expenditure account like Petty Cash","قم بتعيين وسيلة دفع للمصاريف واربطها بحساب المصاريف المعتاد مثل الصندوق النثري"
"Credit Card","بطاقة إئتمانية"
"Default Mode of Payment","وسيلة الدفع الأساسية"
"Expense Settings","إعدادات المصاريف"
"Payment Terms from orders will be fetched into the invoices as is","سيتم جلب شروط الدفع من الأوامر إلى الفواتير كما هي "
"Enabling this ensures each Purchase Invoice has a unique value in Supplier Invoice No. field within a particular fiscal year","تفعيل هذا الخيار يضمن عدم تكرار رقم فاتورة المورد في فواتير الشراء ضمن السنة المالية"
"On enabling this cancellation entries will be posted on the actual cancellation date and reports will consider cancelled entries as well","عند التفعيل، سيتم ترحيل قيود الإلغاء بتاريخ الإلغاء الفعلي، وستأخذ التقارير بعين الاعتبار القيود الملغاة أيضًا"
"Current Liability","المطلوبات المتداولة"
"Profit and Loss","الأرباح و الخسائر"
"Current Asset","الأصول المتداولة"
"Setting Account Type helps in selecting this Account in transactions.","تحديد نوع الحساب يساعد في تحديد الحسابات في الحركات"
"If the account is frozen, entries are allowed to restricted users.","إذا كان الحساب مجمد الحركات ستكون مسموحة لمستخدمين محددين"
"Standard Template","نموذج قياسي"
"Financial Reports","التقارير المالية"
"Itemwise Recommended Reorder Level","الأصناف حسب حد الطلب المقترح"
"Item Prices","قوائم الأسعار"
"Batch Item Expiry Status","حالة صلاحية الباتشات"
"Requested Items To Be Transferred","الأصناف المطلوبة للتحويل"
"Batch-Wise Balance History","الرصيد حسب الباتشات"
"Item Shortage Report","تقرير العجز بالأصناف"
"Purchase Receipt Trends","تحليل سندات تسليم المشتريات"
"Delivery Note Trends","تحليل إشعارات التسليم"
"Stock Analytics","تحليل المخزون"
"Serial No Warranty Expiry","صلاحية كفالة الرقم المتسلسل"
"Serial No Status","حالة الرقم المتسلسل"
"Serial No Service Contract Expiry","صلاحية عقد خدمة الرقم المتسلسل"
"Warehouse Wise Stock Balance","رصيد المخزون حسب المستودع"
"Item Price Stock","المخزون حسب قائمة الأسعار"
"Stock Ageing","إعمار المخزون"
"Stock Reports","تقارير المستودعات"
"Stock Transactions","حركات المستودعات"
"Items Catalogue","الأصناف"
"Kanban View","كانبان"
"Dashboard View","رسم بياني"
"Report View","تقرير"
"List View","قائمة"
"TOTAL OUTGOING PAYMENT","إجمالي الدفعات الصادرة"
"Items & Pricing","الأصناف و التسعير"
"Build","بناء"
"ERPNext Integrations","دمج"
"ERPNext Settings","إعدادات النظام"
"Toggle Theme","تبديل الواجهة"
"Toggle Full Width","عرض كامل"
"Share Ledger","سجل الأسهم"
"Share Management","إدارة الأسهم"
"Opening and Closing","الأرصدة الإفتتاحية و الإغلاقات"
"Reports &amp; Masters","الشاشات و التقارير"
"Tax Masters","إعدادات الضريبة"
"If this item has variants, then it cannot be selected in sales orders etc.","إذا كان للصنف متغيرات ، فلا يمكن إستخدامه في الحركات"
"Transactions","الحركات"
"Pay","صرف"
"Receive","قبض"
"Assigned To","موجهة إلى"
"Configure the default Price List when creating a new Purchase transaction. Item prices will be fetched from this Price List.","تكوين قائمة الأسعار الأساسية عند إنشاء معاملة شراء جديدة. سيتم جلب أسعار الأصناف من قائمة الأسعار هذه."
"PAN","رقم الحساب الدائم PAN"
"Invoice ID","رمز الفاتورة"
"Company ID","رمز الشركة"
"Student ID: ","رمز الطالب:"
"Student ID","رمز الطالب"
"Employee ID","رمز الموظف"
"Customer ID","رمز الزبون"
"System User (login) ID. If set, it will become default for all HR forms.","رمز مستخدم النظام (تسجيل الدخول). إذا وضع، وسوف تصبح الافتراضية لكافة أشكال HR."
"User ID of a Blogger","رمز المستخدم من مدون"
"User ID not set for Employee {0}","رمز المستخدم لم يتم تعيين موظف ل {0}"
"Filter...","فلتر..."
"Filter","فلتر"
"Apply Filters","تحديد الفلتر"
"Set Filters for {0}","تحديد الفلاتر لـ {0}"
"Loading Filters...","تحميل الفلاتر..."
"No Filters Set","لا توجد فلاتر"
"Clear Filters","مسح الفلاتر"
"Please set filters value in Report Filter table.","الرجاء تحديدقيم الفلاتر في جدول فلاتر التقرير ."
